Days_since_launch,Alltime_Perday_Quantity,Alltime_Perday_View,Alltime_Perday_ATC,Total_Stock_Sold_Percentage,Days_Since_Last_Sale,Score
802,3.78,158.9,15.23,0.98,4,1
763,0.17,2.71,0.99,0.61,24,3
801,0.68,25.7,3.9,0.86,13,2
801,0.77,17.67,4.24,0.90,11,2
802,0.69,15.55,3.68,0.84,5,2
776,0.23,5.57,1.41,0.63,110,5
776,0.1,2.69,0.51,0.41,19,5
721,0.32,7.92,1.57,0.84,12,4
493,0.38,8.07,1.77,0.95,57,4
493,0.4,10.89,1.94,0.92,44,3
420,0.24,2.38,0.9,0.44,1,4
430,0.11,1.53,0.51,0.25,1,5
507,0.19,2.72,0.66,0.92,10,3
508,0.23,3.62,0.76,0.91,12,3
484,0.04,0.96,0.22,0.78,89,5
484,0.16,2.68,0.68,0.89,33,4
484,0.21,3.79,1.23,0.90,105,4
484,0.3,3.41,1.29,0.63,19,3
484,0.18,2.95,0.85,0.40,41,5
472,0.08,3.33,0.52,0.72,42,5
472,0.08,1.96,0.46,0.64,62,5
456,0.39,4.05,1.46,0.81,19,4
452,0.12,2.25,0.54,0.90,104,5
444,0.59,10.41,2.16,0.76,1,2
444,0.3,4.95,1.31,0.93,1,4
444,0.73,7.59,2.95,0.96,14,2
444,1.01,8.6,3.62,0.98,8,2
444,0.25,7.08,1.21,0.86,4,4
429,0.06,1.9,0.36,0.89,61,4
429,0.11,1.68,0.47,0.96,45,4
426,0.53,24.79,3.36,0.85,3,3
422,0.02,0.44,0.16,0.21,43,5
416,0.25,5.36,1.15,0.47,10,4
416,0.19,3.2,0.79,0.35,5,5
416,0.25,4.56,1.04,0.49,5,4
418,0.29,2.75,1.26,0.81,65,5
418,0.69,5.51,2.24,0.93,30,2
417,0.51,3.56,1.85,0.89,82,3
418,0.77,4.53,2.64,0.84,94,2
415,0.29,4.75,1.62,0.36,69,5
418,0.83,7.32,3.31,0.61,16,3
493,0.09,2.57,0.43,0.75,65,5
465,0.17,4.38,1.01,0.91,23,5
420,0.31,2.48,1.27,0.97,8,4
421,0.37,2.46,1.47,0.55,29,4
421,0.29,2.16,1.38,0.86,13,4
421,0.4,2.24,1.48,0.98,33,3
421,0.47,3.2,1.73,0.85,5,3
421,0.34,3.38,1.58,0.76,5,4
366,0.05,0.98,0.33,0.71,1,5
366,0.09,1.51,0.61,0.89,4,5
321,0.02,0.99,0.25,0.57,53,5
365,0.1,9.68,1.12,0.95,1,4
353,0.13,2.01,0.57,0.83,63,5
353,0.1,1.25,0.44,0.71,102,5
321,0.15,2.57,0.69,0.82,101,5
354,1.18,9.94,4.51,0.92,32,3
354,0.68,6.38,2.71,0.59,12,2
353,0.01,2.95,0.42,0.57,85,5
345,0.17,13.17,1.49,0.36,58,5
338,0.11,3.83,0.46,0.55,88,5
287,0.71,9.94,3.85,0.86,4,2
287,0.33,6.57,2.1,0.62,3,4
273,0.58,10.48,3.21,0.90,26,3
273,0.35,5.7,1.92,0.96,75,5
273,0.21,3.59,1.17,0.88,77,5
273,0.35,6.67,2.18,0.94,18,3
273,0.26,5.01,1.57,0.91,2,3
266,0.29,3.76,1.75,0.84,7,4
266,0.57,4.52,2.59,0.89,51,3
266,0.24,2.08,1.05,0.53,6,5
266,0.55,4.46,2.99,0.84,9,3
266,0.33,3.04,1.45,0.73,3,4
266,0.42,3.02,1.94,0.47,7,3
266,0.33,2.94,1.52,0.81,4,4
266,0.57,4.15,2.47,0.85,80,3
266,0.28,3.45,1.21,0.83,81,5
266,0.53,5.65,2.82,0.84,22,3
242,0.53,6.04,2.79,0.97,37,3
266,0.34,6.3,1.94,0.84,64,5
242,0.36,8.48,1.89,0.98,33,4
242,0.38,5.5,1.93,0.83,4,4
242,0.58,9.54,2.94,0.86,8,3
242,0.29,5.71,1.48,0.97,30,4
242,0.55,7.83,2.62,0.99,9,3
242,0.64,11.27,3.54,0.96,46,3
242,0.43,7.49,2.34,0.63,23,3
225,0.65,13.43,3.19,0.64,15,2
132,0.13,6.89,1.13,0.08,49,5
132,0.61,20.26,3.05,0.61,14,3
132,0.29,9.15,1.67,0.49,39,4
132,0.05,5.42,0.67,0.06,2,5
132,0.15,7.23,1.28,0.77,10,4
132,0.35,7.5,1.84,0.44,10,4
132,0.25,5.78,1.55,0.49,13,4
198,0.41,12.69,2.35,0.52,4,3
198,0.63,17.32,3.4,0.64,2,2
132,0.18,7.65,0.9,0.32,21,4
158,0.16,9.11,1.68,0.89,42,4
160,0.18,12.52,1.97,0.32,23,4
123,0.72,9.93,4.02,0.41,3,3
123,0.8,10.88,4.24,0.45,2,2
