Days_since_launch,Total_Stock_Sold_Percentage,Alltime_Perday_View,Alltime_Perday_ATC,Alltime_Perday_Quantity
802,1.00,1.88,0.85,0.15
800,1.00,1.83,0.99,0.24
800,1.00,1.04,0.55,0.11
801,0.88,1.58,0.34,0.07
711,0.39,0.71,0.13,0.03
778,0.47,0.18,0.09,0.02
800,0.77,0.83,0.17,0.03
661,0.24,0.15,0.06,0.02
800,0.92,1.46,0.34,0.08
728,0.78,1.03,0.18,0.04
801,0.65,0.7,0.19,0.04
802,0.39,0.35,0.09,0.02
686,0.18,0.3,0.05,0.02
801,0.99,4.8,1.92,0.63
802,0.99,2.89,1.41,0.39
722,0.81,2.43,0.88,0.31
800,1.02,4.04,0.61,0.13
781,1.00,5.93,0.8,0.11
801,1.02,3.46,0.89,0.19
802,1.00,2.1,0.6,0.12
802,1.00,7.69,1.36,0.23
800,1.06,3.3,0.81,0.11
802,1.00,6.51,1.2,0.2
802,1.00,4.47,0.77,0.13
802,1.00,18.19,1.85,0.25
802,1.00,14.93,1.6,0.21
802,1.00,8.18,1.17,0.15
799,1.00,2.03,0.54,0.14
800,1.00,2.9,0.53,0.1
799,1.00,1.89,0.47,0.12
801,1.00,2.52,0.9,0.21
800,1.00,3.4,0.55,0.07
746,1.00,8.57,1.11,0.2
783,1.00,3.01,0.58,0.06
800,1.00,2.59,0.74,0.13
800,1.00,2.3,0.67,0.13
802,1.01,2.64,0.59,0.11
802,1.00,3.13,0.61,0.12
802,1.00,2.27,0.67,0.13
802,1.00,3.75,0.85,0.25
801,1.00,12.63,1.8,0.5
777,1.00,16.1,1.48,0.35
720,0.00,54,2,0
720,1.00,0.61,0.12,0.03
794,1.00,14.46,1.63,0.3
799,1.00,6.58,1.71,0.34
802,1.00,23.29,7.41,1.89
789,1.00,0.44,0.16,0.04
774,1.00,0.17,0.06,0.01
789,1.00,0.24,0.16,0.03
800,1.07,0.31,0.16,0.04
798,1.00,0.05,0.02,0.01
801,1.00,0.25,0.12,0.04
793,1.00,0.27,0.22,0.06
789,1.00,0.27,0.11,0.03
774,1.00,1.6,0.55,0.13
789,1.00,0.3,0.08,0.02
800,1.08,0.33,0.16,0.06
798,1.00,2.48,0.51,0.08
801,1.00,0.38,0.11,0.03
793,1.00,0.84,0.13,0.02
801,1.00,3.29,1.49,0.38
801,1.00,6.15,2.46,0.72
802,1.00,4.32,2.36,0.75
799,1.00,3.87,1.7,0.46
801,1.00,4.11,1.94,0.52
802,1.01,3.55,1.43,0.38
794,1.01,4.39,1.38,0.38
802,1.00,5.26,2.92,0.91
802,1.00,17.88,3.34,0.81
802,1.00,17.48,4.25,1.09
801,1.00,27.46,2.02,0.36
802,1.00,14.38,1.3,0.25
802,1.00,8.29,0.68,0.21
802,1.00,15.16,1.72,0.36
802,1.00,6.68,0.89,0.17
802,1.00,24.58,2.6,0.51
801,1.00,40.37,3.09,0.58
802,0.98,1,0.3,0.07
782,0.81,4.59,1.22,0.27
789,1.00,2.15,0.89,0.17
801,1.00,8.74,1.13,0.21
802,1.00,4.19,1.31,0.2
801,1.00,4.2,1.49,0.29
801,1.00,2.36,1.05,0.19
802,1.00,3.68,0.8,0.14
800,1.00,10.01,0.65,0.11
802,1.00,4.26,0.46,0.06
802,0.89,4.18,1.08,0.25
802,0.97,1.07,0.6,0.12
802,1.00,5.66,0.97,0.26
802,1.00,4.72,1.05,0.23
796,0.80,12.28,0.49,0.04
788,0.83,1.32,0.36,0.04
799,1.00,3.78,0.92,0.16
802,1.00,58.41,2.42,0.28
758,0.16,2.37,0.33,0.05
735,0.22,0.66,0.21,0.04
801,1.00,9.69,1.32,0.18
799,1.00,2.33,0.23,0.02
792,1.00,1.8,0.48,0.07
771,1.00,277,19,1
738,0.50,2.22,0.64,0.12
802,1.00,4.47,1.73,0.61
788,1.00,1.28,0.2,0.03
789,1.00,0.6,0.08,0.02
802,1.00,2.15,0.7,0.22
801,1.00,2.2,0.58,0.17
794,1.04,1.17,0.37,0.08
799,1.00,3.34,0.77,0.19
783,1.00,0.49,0.19,0.06
788,1.00,1.22,0.15,0.04
802,1.00,3,1.2,0.36
802,1.03,13.64,1.12,0.2
802,1.00,3.64,1.52,0.12
802,1.00,1.21,0.74,0.23
